timestamp,difference
2022-01-01,-842.5199999999968
2022-01-02,1490.699999999997
2022-01-03,-495.07999999999447
2022-01-04,-734.9200000000055
2022-01-05,-610.6399999999994
2022-01-06,-2481.3899999999994
2022-01-07,-285.66999999999825
2022-01-08,-1469.9400000000023
2022-01-09,-0.9899999999979627
2022-01-10,163.87000000000262
2022-01-11,34.38999999999942
2022-01-12,887.8699999999953
2022-01-13,1117.6900000000023
2022-01-14,-1265.8099999999977
2022-01-15,537.7299999999959
2022-01-16,-67.69999999999709
2022-01-17,36.87999999999738
2022-01-18,-837.8299999999945
2022-01-19,131.32999999999447
2022-01-20,-681.75
2022-01-21,-1025.0199999999968
2022-01-22,-4197.43
2022-01-23,-1396.300000000003
2022-01-24,1092.6600000000035
2022-01-25,427.0599999999977
2022-01-26,338.6200000000026
2022-01-27,-163.02000000000407
2022-01-28,311.2700000000041
2022-01-29,545.5400000000009
2022-01-30,486.73999999999796
2022-01-31,-238.02000000000407
2022-02-01,503.88000000000466
2022-02-02,317.66999999999825
2022-02-03,-1836.1800000000003
2022-02-04,337.8700000000026
2022-02-05,4293.080000000002
2022-02-06,-90.69000000000233
2022-02-07,1037.6900000000023
2022-02-08,1407.3699999999953
2022-02-09,238.45999999999913
2022-02-10,245.5699999999997
2022-02-11,-903.6100000000006
2022-02-12,-1073.729999999996
2022-02-13,-180.83000000000175
2022-02-14,-112.12000000000262
2022-02-15,478.49000000000524
2022-02-16,1869.2200000000012
2022-02-17,-558.4700000000012
2022-02-18,-3336.459999999999
2022-02-19,-553.560000000005
2022-02-20,84.84000000000378
2022-02-21,-1658.8499999999985
2022-02-22,-1351.8700000000026
2022-02-23,1182.6599999999962
2022-02-24,-1022.4599999999991
2022-02-25,1134.7900000000009
2022-02-26,848.5200000000041
2022-02-27,-85.88999999999942
2022-02-28,-1426.8300000000017
2022-03-01,5490.439999999995
2022-03-02,1202.1600000000035
2022-03-03,-548.8000000000029
2022-03-04,-1413.1800000000003
2022-03-05,-3228.3399999999965
2022-03-06,190.2699999999968
2022-03-07,-933.8499999999985
2022-03-08,-448.5400000000009
2022-03-09,721.1900000000023
2022-03-10,3250.540000000001
2022-03-11,-2534.290000000001
2022-03-12,-770.3700000000026
2022-03-13,98.62000000000262
2022-03-14,-1000.5599999999977
2022-03-15,1882.0299999999988
2022-03-16,-296.73999999999796
2022-03-17,1750.0999999999985
2022-03-18,-171.49000000000524
2022-03-19,852.2900000000009
2022-03-20,415.1900000000023
2022-03-21,-943.5299999999988
2022-03-22,-259.5200000000041
2022-03-23,1354.1100000000006
2022-03-24,563.310000000005
2022-03-25,1041.5699999999997
2022-03-26,384.1999999999971
2022-03-27,180.02999999999884
2022-03-28,2280.1200000000026
2022-03-29,383.6399999999994
2022-03-30,223.98999999999796
2022-03-31,-400.0699999999997
2022-04-01,-1538.6699999999983
2022-04-02,747.3099999999977
2022-04-03,-357.04999999999563
2022-04-04,495.2699999999968
2022-04-05,220.09000000000378
2022-04-06,-1129.6000000000058
2022-04-07,-2230.769999999997
2022-04-08,214.51000000000204
2022-04-09,-1152.0900000000038
2022-04-10,488.74000000000524
2022-04-11,-590.5
2022-04-12,-2567.8700000000026
2022-04-13,496.1399999999994
2022-04-14,993.7099999999991
2022-04-15,-1190.300000000003
2022-04-16,660.7800000000061
2022-04-17,-193.61000000000058
2022-04-18,-700.1399999999994
2022-04-19,1144.1599999999962
2022-04-20,648.989999999998
2022-04-21,-133.00999999999476
2022-04-22,-877.560000000005
2022-04-23,-745.5699999999997
2022-04-24,-255.04000000000087
2022-04-25,25.49000000000524
2022-04-26,1006.0599999999977
2022-04-27,-2379.25
2022-04-28,1074.4100000000035
2022-04-29,559.0499999999956
2022-04-30,-1137.1199999999953
2022-05-01,-954.560000000005
2022-05-02,849.9500000000044
2022-05-03,10.869999999995343
2022-05-04,-786.9799999999959
2022-05-05,1972.5099999999948
2022-05-06,-3163.3899999999994
2022-05-07,-500.6999999999971
2022-05-08,-563.9300000000003
2022-05-09,-1364.25
2022-05-10,-3926.0099999999984
2022-05-11,806.4099999999999
2022-05-12,-1832.2200000000012
2022-05-13,-96.88999999999942
2022-05-14,299.02000000000044
2022-05-15,713.2099999999991
2022-05-16,1230.1599999999999
2022-05-17,-1408.9799999999996
2022-05-18,539.489999999998
2022-05-19,-1619.6399999999994
2022-05-20,1511.0699999999997
2022-05-21,-1127.3999999999978
2022-05-22,271.91999999999825
2022-05-23,796.9300000000003
2022-05-24,-1127.8400000000001
2022-05-25,504.72999999999956
2022-05-26,-106.72999999999956
2022-05-27,-322.1499999999978
2022-05-28,-563.1500000000015
2022-05-29,375.59000000000015
2022-05-30,442.4599999999991
2022-05-31,2245.0600000000013
2022-06-01,113.20000000000073
2022-06-02,-2017.9800000000032
2022-06-03,650.380000000001
2022-06-04,-739.4500000000007
2022-06-05,148.01000000000204
2022-06-06,57.06999999999971
2022-06-07,1432.380000000001
2022-06-08,-253.2300000000032
2022-06-09,-874.0199999999968
2022-06-10,-119.58000000000175
2022-06-11,-1009.9500000000007
2022-06-12,-682.3499999999985
2022-06-13,-1747.5200000000004
2022-06-14,-4297.299999999999
2022-06-15,-218.72999999999956
2022-06-16,422.1999999999971
2022-06-17,-2204.3399999999965
2022-06-18,79.47999999999956
2022-06-19,-1429.3600000000006
2022-06-20,1531.829999999998
2022-06-21,12.580000000001746
2022-06-22,140.20999999999913
2022-06-23,-684.6500000000015
2022-06-24,1112.010000000002
2022-06-25,98.88000000000102
2022-06-26,262.75
2022-06-27,-453.5699999999997
2022-06-28,-296.6200000000026
2022-06-29,-456.0799999999981
2022-06-30,-163.6800000000003
2022-07-01,-298.6100000000006
2022-07-02,-520.0200000000004
2022-07-03,-56.54000000000087
2022-07-04,64.47000000000116
2022-07-05,921.6500000000015
2022-07-06,-38.02000000000044
2022-07-07,383.25
2022-07-08,1085.5400000000009
2022-07-09,-61.31000000000131
2022-07-10,-16.92000000000189
2022-07-11,-762.5599999999977
2022-07-12,-852.1900000000023
2022-07-13,-640.6699999999983
2022-07-14,891.9599999999991
2022-07-15,380.83000000000175
2022-07-16,242.0
2022-07-17,357.8299999999981
2022-07-18,-427.5799999999981
2022-07-19,1607.0200000000004
2022-07-20,1030.4099999999999
2022-07-21,-175.8199999999997
2022-07-22,-95.46000000000276
2022-07-23,-434.66999999999825
2022-07-24,-245.26000000000204
2022-07-25,128.63000000000102
2022-07-26,-1336.1500000000015
2022-07-27,28.020000000000437
2022-07-28,1702.9799999999996
2022-07-29,886.75
2022-07-30,-62.70999999999913
2022-07-31,-171.72999999999956
2022-08-01,-351.9599999999991
2022-08-02,-37.61999999999898
2022-08-03,-241.70000000000073
2022-08-04,-188.45000000000073
2022-08-05,-208.09000000000015
2022-08-06,674.3300000000017
2022-08-07,-321.57000000000335
2022-08-08,226.7300000000032
2022-08-09,636.7299999999996
2022-08-10,-689.2000000000007
2022-08-11,837.619999999999
2022-08-12,-24.020000000000437
2022-08-13,437.72000000000116
2022-08-14,50.11000000000058
2022-08-15,-140.36000000000058
2022-08-16,-203.22000000000116
2022-08-17,-231.59999999999854
2022-08-18,-503.47999999999956
2022-08-19,-179.01000000000204
2022-08-20,-2324.5
2022-08-21,299.8199999999997
2022-08-22,361.2800000000025
2022-08-23,-103.44000000000233
2022-08-24,120.01000000000204
2022-08-25,-169.22000000000116
2022-08-26,158.79999999999927
2022-08-27,-1287.869999999999
2022-08-28,-211.13999999999942
2022-08-29,-429.4500000000007
2022-08-30,698.75
2022-08-31,-453.5400000000009
2022-09-01,190.1800000000003
2022-09-02,87.92000000000189
2022-09-03,-168.36000000000058
2022-09-04,-108.09000000000015
2022-09-05,170.95999999999913
2022-09-06,-201.11999999999898
2022-09-07,-1029.4900000000016
2022-09-08,510.7400000000016
2022-09-09,27.5099999999984
2022-09-10,2033.75
2022-09-11,303.4900000000016
2022-09-12,160.59000000000015
2022-09-13,594.8999999999978
2022-09-14,-2244.989999999998
2022-09-15,53.590000000000146
2022-09-16,-529.4399999999987
2022-09-17,101.98999999999796
2022-09-18,324.3199999999997
2022-09-19,-688.25
2022-09-20,126.02000000000044
2022-09-21,-684.6100000000006
2022-09-22,-377.7599999999984
2022-09-23,914.5799999999981
2022-09-24,-99.32999999999811
2022-09-25,-363.8899999999994
2022-09-26,-151.90999999999985
2022-09-27,436.97999999999956
2022-09-28,-151.61000000000058
2022-09-29,333.7099999999991
2022-09-30,197.72999999999956
2022-10-01,-191.27999999999884
2022-10-02,-109.72000000000116
2022-10-03,-235.5699999999997
2022-10-04,567.1500000000015
2022-10-05,702.3099999999977
2022-10-06,-188.4499999999971
2022-10-07,-194.15999999999985
2022-10-08,-434.7300000000032
2022-10-09,-112.45999999999913
2022-10-10,25.889999999999418
2022-10-11,-330.5
2022-10-12,-32.5
2022-10-13,85.08000000000175
2022-10-14,224.75
2022-10-15,-196.1700000000019
2022-10-16,-112.43000000000029
2022-10-17,199.61000000000058
2022-10-18,290.77000000000044
2022-10-19,-229.88999999999942
2022-10-20,-208.77999999999884
2022-10-21,-78.28000000000247
2022-10-22,126.46000000000276
2022-10-23,35.07999999999811
2022-10-24,356.75
2022-10-25,-234.98999999999796
2022-10-26,779.8299999999981
2022-10-27,644.0499999999993
2022-10-28,-469.5599999999977
2022-10-29,305.6299999999974
2022-10-30,230.83000000000175
2022-10-31,-189.29000000000087
2022-11-01,-155.13999999999942
2022-11-02,7.18999999999869
2022-11-03,-333.97999999999956
2022-11-04,57.86999999999898
2022-11-05,947.6700000000019
2022-11-06,148.13000000000102
2022-11-07,-392.52000000000044
2022-11-08,-332.76000000000204
2022-11-09,-2017.5999999999985
2022-11-10,-2676.9799999999996
2022-11-11,1737.2200000000012
2022-11-12,-570.5800000000017
2022-11-13,-242.40999999999985
2022-11-14,-486.8600000000006
2022-11-15,280.65999999999985
2022-11-16,287.6800000000003
2022-11-17,-213.47000000000116
2022-11-18,15.790000000000873
2022-11-19,5.360000000000582
2022-11-20,-8.639999999999418
2022-11-21,-396.7399999999998
2022-11-22,-517.1500000000015
2022-11-23,460.28000000000065
2022-11-24,381.6399999999994
2022-11-25,-25.549999999999272
2022-11-26,-69.47999999999956
2022-11-27,-58.52000000000044
2022-11-28,-24.889999999999418
2022-11-29,-237.09000000000015
2022-11-30,246.22999999999956
2022-12-01,728.630000000001
2022-12-02,-194.95000000000073
2022-12-03,117.11999999999898
2022-12-04,-216.89999999999782
2022-12-05,218.80999999999767
2022-12-06,-127.82999999999811
2022-12-07,119.37999999999738
2022-12-08,-249.5699999999997
2022-12-09,385.6900000000023
2022-12-10,-98.47000000000116
2022-12-11,0.9599999999991269
2022-12-12,-42.599999999998545
2022-12-13,120.86999999999898
2022-12-14,560.2999999999993
2022-12-15,44.909999999999854
2022-12-16,-456.1899999999987
2022-12-17,-730.1100000000006
2022-12-18,153.29999999999927
2022-12-19,-28.2599999999984
2022-12-20,-299.1100000000006
2022-12-21,439.52999999999884
2022-12-22,-71.36999999999898
2022-12-23,4.110000000000582
2022-12-24,-46.86000000000058
2022-12-25,55.93999999999869
2022-12-26,-0.33999999999650754
2022-12-27,112.43999999999869
2022-12-28,-242.95000000000073
2022-12-29,-154.66999999999825
2022-12-30,86.82999999999811
2022-12-31,-21.540000000000873
